Scientific Name,Species Name,Species Code,BC List,Provincial FRPA,COSEWIC,SARA
Catostomus catostomus,Longnose Sucker,LSU,Yellow,NA,NA,NA
Catostomus commersonii,White Sucker,WSU,Yellow,NA,NA,NA
Catostomus macrocheilus,Largescale Sucker,CSU,Yellow,NA,NA,NA
Coregonus clupeaformis,Lake Whitefish,LW,Yellow,NA,NA,NA
Cottus aleuticus,Coastrange Sculpin (formerly Aleutian Sculpin),CAL,Yellow,NA,NA,NA
Cottus asper,Prickly Sculpin,CAS,Yellow,NA,NA,NA
Cottus cognatus,Slimy Sculpin,CCG,Yellow,NA,NA,NA
Couesius plumbeus,Lake Chub,LKC,Yellow,NA,DD,NA
Lota lota,Burbot,BB,Yellow,NA,NA,NA
Mylocheilus caurinus,Peamouth Chub,PCC,Yellow,NA,NA,NA
Oncorhynchus mykiss,Rainbow Trout,RB,Yellow,NA,NA,NA
Oncorhynchus nerka,Kokanee,KO,Yellow,NA,NA,NA
Osmerus dentex,Rainbow Smelt,RSM,Unknown,NA,NA,NA
Prosopium coulterii,Pygmy Whitefish,PW,Yellow,NA,"NAR (Nov 2016)",NA
Prosopium cylindraceum,Round Whitefish,RW,Yellow,NA,NA,NA
Prosopium williamsoni,Mountain Whitefish,MW,Yellow,NA,NA,NA
Ptychocheilus oregonensis,Northern Pikeminnow,NSC,Yellow,NA,NA,NA
Rhinichthys cataractae,Longnose Dace,LNC,Yellow,NA,NA,NA
Richardsonius balteatus,Redside Shiner,RSC,Yellow,NA,NA,NA
Salvelinus confluentus,Bull Trout,BT,Blue,Y (Jun 2006),SC (Nov 2012),NA
Salvelinus fontinalis,Brook Trout,EB,Exotic,NA,NA,NA
Salvelinus malma,Dolly Varden,DV,Yellow,NA,NA,NA
Salvelinus namaycush,Lake Trout,LT,Yellow,NA,NA,NA
Thymallus arcticus,Arctic Grayling,GR,Yellow,NA,NA,NA
